quarter,topic_id,mention_count,previous_count,growth,growth_rate,volume_norm,growth_norm,trend_score,document_count,average_toxicity,average_insult,average_threat,high_toxicity_percentage,topic_name,trend_status,toxicity_status
2025Q2,0,387,0.0,387.0,387.0,1.0,1.0,1.0,387,0.16852361076611916,0.06472558152655233,0.002297345697564688,16.795865633074936,0_trump_democrats_party_vote,High,Low
2025Q2,1,300,0.0,300.0,300.0,0.7616438356164383,0.7616438356164383,0.7616438356164383,300,0.10869045531959273,0.022026105513747705,0.004092209166725903,8.666666666666668,1_iran_israel_nuclear_weapons,High,Low
2025Q2,2,169,0.0,169.0,169.0,0.40273972602739727,0.40273972602739727,0.40273972602739727,169,0.05204565345465354,0.008857226262117747,0.00039603568266694206,4.142011834319527,2_use_app_internet_like,Medium,Low
2025Q2,3,163,0.0,163.0,163.0,0.38630136986301367,0.38630136986301367,0.38630136986301367,163,0.055542514491269214,0.010933632263467373,0.0006864624278012097,5.521472392638037,3_game_play_season_set,Medium,Low
2025Q2,4,160,1.0,159.0,79.5,0.3780821917808219,0.37534246575342467,0.376986301369863,161,0.19624751122337217,0.07510122866613822,0.0023380846072744684,18.633540372670808,4_told_said_wife_im,Medium,Low
2025Q2,5,134,0.0,134.0,134.0,0.3068493150684931,0.3068493150684931,0.3068493150684931,134,0.15153676499491,0.06425109665170607,0.001293410479204917,14.925373134328357,5_lmao_lol_true_exactly,Low,Low
2025Q2,6,127,0.0,127.0,127.0,0.28767123287671237,0.28767123287671237,0.28767123287671237,127,0.13085902245819758,0.044228490623650064,0.0005561785269313213,12.598425196850393,6_money_puts_calls_market,Low,Low
2025Q2,7,125,0.0,125.0,125.0,0.28219178082191776,0.28219178082191776,0.28219178082191776,125,0.07237664206232876,0.00630597139976453,0.0003377939283964224,5.6000000000000005,7_eat_weight_im_food,Low,Low
2025Q2,8,112,0.0,112.0,112.0,0.24657534246575344,0.24657534246575344,0.24657534246575344,112,0.12229024171444637,0.03695895522936813,0.007232855211441347,9.821428571428571,8_war_protest_countries_fight,Low,Low
2025Q2,9,109,0.0,109.0,109.0,0.23835616438356164,0.23835616438356164,0.2383561643835616,109,0.07459654589130227,0.022215032093483238,0.0010058844344954245,7.339449541284404,9_launch_base_flight_planes,Low,Low
2025Q2,10,93,0.0,93.0,93.0,0.19452054794520549,0.19452054794520549,0.19452054794520549,93,0.13432655229999294,0.02320411792215866,0.0012001842987174119,15.053763440860216,10_weeks_week_day_infrastructure,Low,Low
2025Q2,11,87,0.0,87.0,87.0,0.1780821917808219,0.1780821917808219,0.1780821917808219,87,0.15861217651433238,0.07025069827344349,0.018629869574616695,16.091954022988507,11_russia_ukraine_russian_war,Low,Low
2025Q2,12,72,0.0,72.0,72.0,0.136986301369863,0.136986301369863,0.136986301369863,72,0.15891491809937483,0.03587105844215128,0.0004034278358125852,12.5,12_coin_buy_value_money,Low,Low
