month,topic_id,mention_count,previous_count,growth,volume_norm,growth_norm,trend_score,topic_name
2025-06,0,423,,423.0,1.0,1.0,1.0,0_the_he_trump_and
2025-06,1,417,,417.0,0.9851116625310175,0.9851485148514851,0.9851264034592045,1_you_bitcoin_it_is
2025-06,2,304,,304.0,0.7047146401985112,0.7054455445544554,0.7050070019408888,2_iran_israel_the_nuclear
2025-06,3,177,1.0,176.0,0.38957816377171217,0.3886138613861386,0.3891924428174828,3_it_the_and_to
2025-06,4,178,,178.0,0.39205955334987597,0.3935643564356436,0.392661474584183,4_the_they_to_and
2025-06,5,153,,153.0,0.33002481389578164,0.3316831683168317,0.3306881556642016,5_the_and_game_for
2025-06,6,146,,146.0,0.3126550868486352,0.31435643564356436,0.31333562636660683,6_what_lmao_lol_you
2025-06,7,122,,122.0,0.25310173697270477,0.25495049504950495,0.25384124020342486,7_he_his_chocopro_the
2025-06,8,115,,115.0,0.2357320099255583,0.23762376237623767,0.23648871090583004,8_you_and_it_keto
2025-06,9,108,3.0,105.0,0.2183622828784119,0.2128712871287129,0.2161658845785323,9_the_launch_they_may
2025-06,10,89,,89.0,0.17121588089330025,0.17326732673267325,0.17203645922904945,10_war_the_japan_to
2025-06,11,88,,88.0,0.1687344913151365,0.17079207920792078,0.1695575264722502,11_russia_ukraine_putin_russian
2025-06,12,77,,77.0,0.141439205955335,0.14356435643564358,0.14228926614745843,12_he_she_him_me
2025-06,13,72,,72.0,0.12903225806451613,0.1311881188118812,0.12989460236346215,13_comics_the_first_series
2025-06,14,70,,70.0,0.12406947890818859,0.12623762376237624,0.12493673684986364,14_please_automatically_subreddit_moderators
2025-06,15,67,,67.0,0.11662531017369726,0.11881188118811882,0.11749993857946589,15_weeks_week_two_infrastructure
2025-06,16,59,,59.0,0.0967741935483871,0.099009900990099,0.09766847652507185,16_india_pakistan_indian_canada
2025-06,17,56,1.0,55.0,0.08933002481389579,0.08910891089108912,0.08924157924477312,17_ai_to_brain_it
2025-06,18,52,,52.0,0.0794044665012407,0.08168316831683169,0.08031594722747709,18_ev_charge_solar_hummer
2025-06,19,48,1.0,47.0,0.06947890818858561,0.06930693069306931,0.0694101171903791,19_my_nyuk_pillows_water
2025-06,20,47,,47.0,0.06699751861042184,0.06930693069306931,0.06792128344348083,20_game_win_pacers_dub
2025-06,21,38,,38.0,0.044665012406947896,0.04702970297029703,0.04561088863228755,21_ign_monopoly_download_play
2025-06,22,37,,37.0,0.04218362282878413,0.04455445544554455,0.04313195587548829,22_china_chinese_eu_taiwan
2025-06,23,34,,34.0,0.03473945409429281,0.037128712871287134,0.03569515760509054,23_thanks_thank_nice_wishes
2025-06,24,33,,33.0,0.03225806451612903,0.034653465346534656,0.03321622484829128,24_musk_ceo_money_in
2025-06,25,33,,33.0,0.03225806451612903,0.034653465346534656,0.03321622484829128,25_vegan_you_animal_and
2025-06,26,26,,26.0,0.014888337468982632,0.017326732673267328,0.01586369555069651,26_racist_people_black_matter
2025-06,27,23,1.0,22.0,0.007444168734491316,0.007425742574257425,0.007436798270397759,27_giphy_gif_pew_downsized
2025-06,28,20,1.0,19.0,0.0,0.0,0.0,28_bots_media_social_bot
